Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,48,28.5,4.50,105,3934,3498,472,845,179,24,101,450,71,18,345,765,.242,.313,.393,.706,93,1375,62,33,23,33,7,693
Athletics,52,26.6,4.42,104,3983,3539,460,870,160,10,127,441,52,20,363,903,.246,.323,.404,.727,96,1431,80,47,14,19,18,744
Atlanta Braves,54,29.7,4.97,104,3939,3544,517,885,166,8,139,499,51,17,312,844,.250,.315,.419,.734,101,1484,44,43,4,33,8,688
Baltimore Orioles,48,26.9,4.58,105,3986,3497,481,834,161,13,123,463,58,23,406,971,.238,.322,.397,.719,102,1390,70,38,14,29,9,723
Boston Red Sox,46,28.3,4.19,103,3848,3432,432,835,181,18,98,414,76,28,307,847,.243,.314,.392,.706,100,1346,62,58,19,30,5,691
Chicago Cubs,52,28.9,5.13,104,4109,3560,534,875,168,18,130,500,73,15,455,895,.246,.339,.413,.751,110,1469,67,59,5,29,14,817
Chicago White Sox,50,25.7,4.75,103,3896,3439,489,822,160,10,131,469,63,27,347,924,.239,.317,.406,.723,102,1395,46,59,23,26,14,680
Cincinnati Reds,46,27.4,4.15,103,3890,3450,427,791,154,10,135,408,73,22,371,960,.229,.308,.397,.705,92,1370,59,32,13,21,6,717
Cleveland Guardians,41,27.0,3.96,106,3960,3503,420,812,161,11,104,402,103,20,379,884,.232,.311,.373,.684,93,1307,58,32,20,24,10,734
Colorado Rockies,45,26.7,4.76,106,4036,3597,505,915,193,21,118,484,71,31,335,911,.254,.325,.418,.743,93,1504,59,56,14,34,6,719
Detroit Tigers,44,26.5,4.20,105,3938,3496,441,822,154,19,127,421,33,16,365,912,.235,.312,.399,.711,97,1395,57,37,6,29,5,722
Houston Astros,53,29.0,4.58,106,3998,3560,486,862,158,8,143,464,37,14,347,862,.242,.316,.412,.727,103,1465,78,48,15,26,23,704
Kansas City Royals,44,28.1,4.20,106,3989,3566,445,879,195,11,107,425,81,23,331,853,.246,.315,.397,.712,102,1417,62,40,17,35,10,731
Los Angeles Angels,50,28.0,4.29,105,3964,3529,450,847,158,11,113,433,53,18,340,993,.240,.316,.387,.703,100,1366,79,61,12,20,11,716
Los Angeles Dodgers,44,30.6,5.17,105,4038,3532,543,919,176,11,136,510,42,15,413,830,.260,.341,.432,.773,113,1525,87,39,12,39,19,742
Miami Marlins,43,25.8,4.39,105,3952,3494,461,875,175,24,106,444,112,31,350,859,.250,.326,.405,.731,107,1416,64,57,14,36,9,731
Milwaukee Brewers,47,27.7,5.04,104,4041,3530,524,896,188,16,97,497,103,30,429,856,.254,.336,.399,.735,102,1407,59,23,25,27,19,779
Minnesota Twins,48,28.7,4.72,106,4018,3574,500,875,172,14,126,477,64,27,351,872,.245,.320,.407,.726,103,1453,63,56,5,31,7,715
New York Mets,51,27.7,4.04,105,3940,3530,424,822,130,12,123,404,51,23,332,883,.233,.303,.381,.684,90,1345,73,36,14,24,10,702
New York Yankees,40,29.5,4.65,104,3877,3437,484,805,154,14,150,461,98,31,384,940,.234,.313,.418,.731,103,1437,60,22,6,25,13,646
Philadelphia Phillies,44,30.1,4.28,105,3910,3524,449,828,142,15,135,434,77,13,304,933,.235,.301,.399,.700,87,1405,55,44,6,30,8,687
Pittsburgh Pirates,47,28.3,5.19,105,4120,3646,545,946,164,12,132,521,91,17,386,998,.259,.337,.420,.757,107,1530,80,55,5,25,7,783
San Diego Padres,42,29.6,4.16,105,3892,3451,437,795,156,10,116,426,109,26,361,871,.230,.308,.382,.690,92,1319,77,38,15,26,14,676
Seattle Mariners,42,28.4,4.00,105,3914,3466,420,794,128,7,121,404,77,28,347,900,.229,.309,.375,.684,96,1299,60,65,9,26,6,716
San Francisco Giants,50,27.8,4.16,104,3899,3553,433,899,188,22,118,417,40,12,261,820,.253,.308,.418,.726,105,1485,62,35,20,30,14,702
St. Louis Cardinals,41,25.5,4.45,104,3927,3476,463,835,140,11,110,451,63,19,332,803,.240,.316,.382,.698,98,1327,78,68,17,33,12,707
Tampa Bay Rays,42,27.8,4.55,104,3933,3480,473,908,153,16,105,448,101,37,355,749,.261,.334,.405,.738,106,1408,79,40,27,29,15,732
Texas Rangers,47,29.5,4.22,104,3903,3480,439,863,154,17,119,423,48,12,334,869,.248,.321,.405,.726,111,1408,75,50,17,21,5,728
Toronto Blue Jays,50,28.9,3.95,105,3889,3519,415,853,160,5,104,398,45,10,284,764,.242,.304,.379,.683,86,1335,72,39,14,30,10,693
Washington Nationals,45,24.9,5.47,105,4064,3611,574,914,184,22,152,546,116,26,364,871,.253,.328,.443,.771,113,1598,65,50,12,24,11,688
League Average,44,27.9,4.50,105,3960,3517,471,857,164,14,122,451,71,22,353,878,.244,.318,.402,.720,100,1414,66,45,14,28,11,717
,1324,27.9,4.50,3140,118787,105513,14143,25721,4912,420,3646,13534,2132,649,10590,26342,.244,.318,.402,.720,100,42411,1992,1360,417,844,325,21506
