Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Los Angeles Dodgers,67,39,.632,L 1,5.2,3.7,1.5,-0.1,1.3,69-37,-2,14-7,7-5,22-15,24-12,31-19,36-20,1-0,20-13,48-27,19-12,36-23,31-16,6-4,11-9,18-12
2,Milwaukee Brewers,66,39,.629,W 2,5.1,3.7,1.4,0.0,1.4,67-38,-1,12-9,19-10,14-8,21-12,36-20,30-19,8-3,17-14,46-28,20-11,36-25,30-14,7-3,13-7,20-10
3,Atlanta Braves,62,43,.590,W 1,5.0,3.9,1.0,0.0,1.0,63-42,-1,17-10,13-8,11-11,21-14,32-20,30-23,4-5,16-15,36-26,26-17,35-24,27-19,7-3,12-8,14-16
4,Tampa Bay Rays,62,43,.590,W 3,4.5,4.1,0.4,0.0,0.4,57-48,5,22-13,18-7,6-6,16-17,38-15,24-28,5-4,12-10,41-33,21-10,28-21,34-22,6-4,10-10,19-11
5,New York Yankees,59,46,.562,L 1,4.6,3.8,0.8,-0.1,0.7,61-44,-2,16-16,15-9,13-9,15-12,26-23,33-23,1-6,11-14,36-30,23-16,25-23,34-23,6-4,11-9,13-17
6,Chicago Cubs,59,46,.562,L 1,5.2,4.4,0.7,0.0,0.7,60-45,-1,15-5,15-14,15-9,14-18,30-22,29-24,8-5,16-11,44-34,15-12,31-28,28-18,6-4,12-8,20-10
7,Philadelphia Phillies,57,49,.538,W 1,4.3,4.4,-0.1,0.1,0.0,52-54,5,16-13,10-13,17-10,14-13,28-27,29-22,4-3,19-8,38-27,19-22,29-31,28-18,4-6,9-11,16-14
8,Chicago White Sox,55,49,.529,W 1,4.8,4.4,0.4,-0.1,0.3,57-47,-2,8-13,18-12,15-9,14-15,32-19,23-30,5-7,19-14,39-34,16-15,19-23,36-26,6-4,10-10,16-14
9,Boston Red Sox,54,50,.519,W 1,4.2,3.8,0.4,0.0,0.5,57-47,-3,18-19,14-8,8-7,14-16,25-29,29-21,3-3,10-12,37-40,17-10,26-23,28-27,8-2,17-3,23-7
10,Arizona Diamondbacks,55,51,.519,L 2,4.5,4.5,0.0,0.1,0.1,53-53,2,10-12,10-12,21-11,14-16,31-22,24-29,4-5,19-15,38-42,17-9,24-33,31-18,6-4,12-8,16-14
11,Washington Nationals,54,52,.509,W 2,5.5,5.2,0.3,0.1,0.4,56-50,-2,10-17,12-10,11-10,21-15,22-32,32-20,5-5,13-14,31-39,23-13,28-32,26-20,6-4,11-9,15-15
12,Pittsburgh Pirates,54,52,.509,W 1,5.2,4.8,0.4,0.1,0.5,57-49,-3,9-17,18-14,8-10,19-11,28-26,26-26,4-7,15-11,45-30,9-22,29-35,25-17,5-5,11-9,16-14
13,Texas Rangers,53,52,.505,L 1,4.2,4.5,-0.2,-0.1,-0.4,50-55,3,9-7,12-12,15-17,17-16,27-25,26-27,2-1,19-10,39-41,14-11,22-20,31-32,5-5,10-10,17-13
14,St. Louis Cardinals,53,52,.505,L 1,4.4,4.4,0.0,0.1,0.1,52-53,1,12-9,16-15,8-9,17-19,27-29,26-23,7-4,18-16,35-39,18-13,31-30,22-22,3-7,7-13,12-18
15,Cleveland Guardians,54,53,.505,L 5,3.9,4.1,-0.2,0.0,-0.1,51-56,3,8-14,17-13,13-12,16-14,27-26,27-27,4-4,17-17,32-39,22-14,20-32,34-21,3-7,9-11,13-17
16,San Diego Padres,53,53,.500,W 3,4.2,4.4,-0.2,0.1,-0.1,51-55,2,9-13,9-13,15-14,20-13,27-24,26-29,4-2,13-16,41-40,12-13,22-38,31-15,5-5,10-10,14-16
17,Minnesota Twins,53,54,.495,W 2,4.8,5.0,-0.3,0.0,-0.3,51-56,2,13-12,16-15,12-6,12-21,28-26,25-28,4-2,11-14,38-35,15-19,27-29,26-25,5-5,12-8,17-13
18,Seattle Mariners,52,54,.491,W 1,4.0,3.9,0.1,-0.2,-0.1,54-52,-2,9-10,10-15,18-11,15-18,30-23,22-31,6-5,14-17,37-40,15-14,22-30,30-24,5-5,9-11,13-17
19,Miami Marlins,52,54,.491,L 12,4.4,4.4,0.0,0.0,0.1,53-53,-1,12-14,9-10,14-8,17-22,31-23,21-31,2-4,14-11,42-37,10-17,29-33,23-21,0-10,6-14,14-16
20,Houston Astros,52,55,.486,L 1,4.6,5.0,-0.4,-0.1,-0.5,49-58,3,11-10,15-10,13-18,13-17,26-27,26-28,5-5,9-8,40-39,12-16,27-22,25-33,5-5,10-10,16-14
